X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,RESPONSE_TIME_MINUTES
404088.785400003,132502.0407,24072261,2024-05-14 18:05:48+00:00,DAY,OTHERS,THEFT/OTHER,3634 - 3745 BLOCK OF CAMDEN STREET SE,404088.785441747,132502.040664393,7.0,7B,6.0,606.0,Cluster 35,007603 3,7603.0,Precinct 110,38.8603242063,-76.9528898931,,2024-05-14 15:27:00+00:00,2024-05-14 17:19:00+00:00,606076289,112.0
401071.590000004,138482.960000001,24130103,2024-08-24 06:42:01+00:00,MIDNIGHT,OTHERS,THEFT F/AUTO,2000 - 2099 BLOCK OF KENDALL STREET NE,401071.59,138482.96,5.0,5D,5.0,506.0,Cluster 23,008803 1,8803.0,Precinct 76,38.9142114419,-76.9876440422,,2024-08-24 01:30:00+00:00,2024-08-24 04:30:00+00:00,606076290,180.0
398010.079999998,138818.940000001,24130225,2024-08-24 13:54:07+00:00,DAY,OTHERS,THEFT/OTHER,2000 - 2099 BLOCK OF 8TH STREET NW,398010.08,138818.94,1.0,1B,3.0,305.0,Cluster 3,003500 3,3500.0,Precinct 37,38.917236462,-77.0229457261,,2024-08-24 12:19:00+00:00,2024-08-24 13:22:00+00:00,606076291,63.0
406531.0207,135343.77,24064752,2024-04-30 21:49:51+00:00,EVENING,GUN,ROBBERY,5300 - 5399 BLOCK OF B STREET SE,406531.020676014,135343.76997903,7.0,7E,6.0,604.0,Cluster 33,009905 1,9905.0,Precinct 105,38.8859088898,-76.9247239953,,2024-04-30 20:28:00+00:00,2024-04-30 21:52:00+00:00,606076292,84.0
396831.57,137702.420000002,24066695,2024-05-04 05:57:09+00:00,MIDNIGHT,OTHERS,THEFT F/AUTO,1200 - 1399 BLOCK OF 16TH STREET NW,396831.57,137702.42,2.0,2B,2.0,208.0,Cluster 6,005202 2,5202.0,Precinct 16,38.9071750139,-77.0365299473,,2024-05-04 03:21:00+00:00,2024-05-04 04:56:00+00:00,606076293,95.0
400932.880000003,129502.530000001,24067409,2024-05-05 18:18:04+00:00,DAY,OTHERS,THEFT F/AUTO,4200 - 4212 BLOCK OF WHEELER ROAD SE,400932.88,129502.53,8.0,8E,7.0,706.0,Cluster 39,009700 2,9700.0,Precinct 121,38.8333123031,-76.9892556238,,2024-05-05 14:57:00+00:00,2024-05-05 14:58:00+00:00,606076294,1.0
395652.109999999,137055.530000001,24068030,2024-05-06 20:12:05+00:00,EVENING,OTHERS,THEFT/OTHER,900 - 999 BLOCK OF 23RD STREET NW,395652.11,137055.53,2.0,2A,2.0,207.0,Cluster 5,005601 3,5601.0,Precinct 3,38.9013425592,-77.0501242602,,2024-05-03 20:08:00+00:00,2024-05-06 20:09:00+00:00,606076295,4321.0
396504.189999998,138347.260000002,24110027,2024-07-18 15:45:29+00:00,DAY,OTHERS,BURGLARY,1700 - 1725 BLOCK OF NEW HAMPSHIRE AVENUE NW,396504.19,138347.26,2.0,2B,3.0,301.0,Cluster 6,005302 1,5302.0,Precinct 15,38.9129827116,-77.040307709,,2024-07-17 21:00:00+00:00,2024-07-17 21:10:00+00:00,606076296,10.0
406658.383299999,135012.5605,24114034,2024-07-25 20:47:53+00:00,EVENING,OTHERS,THEFT F/AUTO,5400 - 5599 BLOCK OF D STREET SE,406658.383332132,135012.560506722,7.0,7E,6.0,604.0,Cluster 33,009905 2,9905.0,Precinct 105,38.8829242737,-76.9232592337,,2024-07-11 00:00:00+00:00,2024-07-11 12:00:00+00:00,606076297,720.0
401279.490000002,140329.620000001,24116716,2024-07-30 19:32:37+00:00,EVENING,OTHERS,BURGLARY,1400 - 1499 BLOCK OF KEARNY STREET NE,401279.49,140329.62,5.0,5B,5.0,504.0,Cluster 22,009301 4,9301.0,Precinct 73,38.9308464704,-76.9852434114,,2024-07-30 01:30:00+00:00,2024-07-30 04:00:00+00:00,606076299,150.0
399037.719999999,128205.239999998,24066688,2024-05-12 02:19:46+00:00,EVENING,GUN,ASSAULT W/DANGEROUS WEAPON,4660 - 4699 BLOCK OF MARTIN LUTHER KING JR AVENUE SW,399037.72,128205.24,8.0,8D,7.0,708.0,Cluster 39,010900 1,10900.0,Precinct 126,38.8216256757,-77.0110811748,,2024-05-04 03:11:00+00:00,2024-05-04 04:08:00+00:00,606076302,57.0
397496.219999999,139395.43,24069057,2024-05-08 17:49:19+00:00,DAY,OTHERS,THEFT F/AUTO,1200 - 1299 BLOCK OF CLIFTON STREET NW,397496.22,139395.43,1.0,1B,3.0,304.0,Cluster 2,003600 3,3600.0,Precinct 23,38.9224283578,-77.0288731372,,2024-05-08 16:00:00+00:00,2024-05-08 17:00:00+00:00,606076303,60.0
400790.706799999,134964.919199999,24072585,2024-05-15 05:14:01+00:00,MIDNIGHT,OTHERS,BURGLARY,1100 - 1199 BLOCK OF PENNSYLVANIA AVENUE SE,400790.706814687,134964.919162678,6.0,6B,1.0,106.0,Cluster 26,007100 2,7100.0,Precinct 91,38.8825199578,-76.9908868125,CAPITOL HILL,2024-05-15 03:39:00+00:00,2024-05-15 03:50:00+00:00,606076304,11.0
399765.600000001,137802.800000001,24422143,2024-06-13 15:22:53+00:00,DAY,OTHERS,THEFT/OTHER,200 - 299 BLOCK OF FLORIDA AVENUE NE,399765.6,137802.8,5.0,5F,5.0,501.0,Cluster 23,008702 3,8702.0,Precinct 75,38.9080849512,-77.0027025147,NOMA,2024-06-07 22:10:00+00:00,2024-06-09 22:10:00+00:00,606076305,2880.0
392613.990000002,137848.84,24116530,2024-07-30 13:47:57+00:00,DAY,OTHERS,THEFT/OTHER,4461 - 4530 BLOCK OF MACARTHUR BOULEVARD NW,392613.99,137848.84,3.0,3D,2.0,205.0,Cluster 13,000802 1,802.0,Precinct 7,38.9084686931,-77.0851574696,,2024-07-29 21:00:00+00:00,2024-07-30 12:45:00+00:00,606076306,945.0
398057.409999996,140312.52,24075138,2024-05-19 22:33:24+00:00,EVENING,GUN,ASSAULT W/DANGEROUS WEAPON,600 - 699 BLOCK OF KEEFER PLACE NW,398057.41,140312.52,1.0,1E,4.0,409.0,Cluster 2,003200 3,3200.0,Precinct 38,38.9306912125,-77.0224041916,,2024-05-19 18:31:00+00:00,2024-05-19 21:32:00+00:00,606076307,181.0
402392.68,139028.32,24152089,2024-10-01 20:25:44+00:00,EVENING,OTHERS,THEFT F/AUTO,2100 - 2148 BLOCK OF QUEENS CHAPEL ROAD NE,402392.68,139028.32,5.0,5C,5.0,503.0,Cluster 22,011100 1,11100.0,Precinct 71,38.9191216215,-76.9724093273,,2024-09-30 00:40:00+00:00,2024-09-30 05:29:00+00:00,606076308,289.0
401936.82,130715.374200001,24152954,2024-10-03 08:45:51+00:00,MIDNIGHT,OTHERS,THEFT/OTHER,3500 - 3599 BLOCK OF 18TH STREET SE,401936.81999975,130715.374230735,8.0,8E,7.0,704.0,Cluster 38,007409 3,7409.0,Precinct 116,38.8442365147,-76.9776894058,,2024-10-03 07:40:00+00:00,2024-10-03 08:30:00+00:00,606076309,50.0
397633.43,144615.420000002,24153656,2024-10-04 16:09:37+00:00,DAY,OTHERS,THEFT/OTHER,6500 - 6599 BLOCK OF GEORGIA AVENUE NW,397633.43,144615.42,4.0,4A,4.0,402.0,Cluster 17,001804 2,1804.0,Precinct 61,38.9694518736,-77.027308864,,2024-10-04 14:41:00+00:00,2024-10-04 14:51:00+00:00,606076315,10.0
399952.399999999,143603.23,24110090,2024-07-18 18:49:04+00:00,DAY,OTHERS,THEFT F/AUTO,500 - 529 BLOCK OF NICHOLSON STREET NE,399952.4,143603.23,4.0,4B,4.0,406.0,Cluster 19,009505 3,9505.0,Precinct 65,38.9603370025,-77.0005492065,,2024-07-18 13:30:00+00:00,2024-07-18 14:30:00+00:00,606076329,60.0
400594.859999999,139371.550000001,24058722,2024-04-19 22:33:47+00:00,EVENING,GUN,ROBBERY,900 - 999 BLOCK OF RHODE ISLAND AVENUE NE,400594.86,139371.55,5.0,5C,5.0,505.0,Cluster 22,009102 4,9102.0,Precinct 72,38.9222166046,-76.9931402028,,2024-04-19 20:30:00+00:00,2024-04-19 20:40:00+00:00,606076330,10.0
399930.5,143088.280000001,24060845,2024-04-24 02:20:20+00:00,EVENING,OTHERS,THEFT/OTHER,5500 - 5529 BLOCK OF SOUTH DAKOTA AVENUE NE,399930.5,143088.28,4.0,4B,4.0,406.0,Cluster 19,009507 1,9507.0,Precinct 65,38.9556981975,-77.0008018355,,2024-04-23 21:59:00+00:00,2024-04-23 22:27:00+00:00,606076331,28.0
406088.945,135110.2531,24062887,2024-04-27 15:20:04+00:00,DAY,OTHERS,THEFT/OTHER,5000 - 5099 BLOCK OF D STREET SE,406088.944963604,135110.253082813,7.0,7E,6.0,604.0,Cluster 33,009904 2,9904.0,Precinct 104,38.8838084536,-76.9298213905,,2024-04-27 14:00:00+00:00,2024-04-27 14:20:00+00:00,606076332,20.0
398010.100000001,137856.940000001,24063325,2024-04-28 08:05:42+00:00,MIDNIGHT,GUN,ROBBERY,8TH STREET NW AND O STREET NW,398010.09999611,137856.93999736,2.0,2G,3.0,307.0,Cluster 7,004901 2,4901.0,Precinct 18,38.9085704417,-77.0229427076,,2024-04-28 06:19:00+00:00,2024-04-28 07:57:00+00:00,606076333,98.0
398099.079999998,138634.120000001,24069340,2024-05-09 05:09:37+00:00,MIDNIGHT,OTHERS,THEFT/OTHER,7TH STREET NW AND T STREET NW,398099.07999619,138634.11999808,1.0,1B,3.0,306.0,Cluster 3,004801 2,4801.0,Precinct 137,38.9155717392,-77.0219189573,,2024-05-09 03:42:00+00:00,2024-05-09 05:00:00+00:00,606076334,78.0
397162.060000002,140182.43,24070179,2024-05-10 20:02:09+00:00,EVENING,OTHERS,THEFT/OTHER,3100 - 3299 BLOCK OF 14TH STREET NW,397162.06,140182.43,1.0,1A,3.0,302.0,Cluster 2,002802 1,2802.0,Precinct 39,38.9295168861,-77.0327298633,,2024-05-10 16:10:00+00:00,2024-05-10 16:18:00+00:00,606076335,8.0
397497.82,138792.809999999,24093779,2024-06-20 17:11:15+00:00,DAY,OTHERS,THEFT F/AUTO,1200 - 1299 BLOCK OF U STREET NW,397497.82,138792.81,1.0,1B,3.0,305.0,Cluster 3,004401 1,4401.0,Precinct 22,38.9169997651,-77.0288524899,,2024-06-20 04:01:00+00:00,2024-06-20 06:20:00+00:00,606076336,139.0
396920.259999998,138793.190000001,24420664,2024-02-23 04:22:11+00:00,MIDNIGHT,OTHERS,THEFT/OTHER,1500 - 1599 BLOCK OF U STREET NW,396920.26,138793.19,1.0,1B,3.0,301.0,Cluster 6,004300 3,4300.0,Precinct 22,38.9170013541,-77.0355123012,,2024-02-05 22:50:00+00:00,2024-02-06 00:00:00+00:00,606076338,70.0
401334.869999997,132389.5,24093487,2024-06-19 22:43:04+00:00,EVENING,OTHERS,THEFT/OTHER,2200 - 2299 BLOCK OF HUNTER PLACE SE,401334.87,132389.5,8.0,8A,7.0,701.0,Cluster 28,007504 1,7504.0,Precinct 114,38.8593188837,-76.984620132,,2024-06-19 21:40:00+00:00,2024-06-19 22:43:00+00:00,606076339,63.0
396459.649999999,138822.23,24095688,2024-06-23 16:09:31+00:00,DAY,OTHERS,THEFT/OTHER,1731 - 1785 BLOCK OF FLORIDA AVENUE NW,396459.65,138822.23,1.0,1C,3.0,303.0,Cluster 1,003801 2,3801.0,Precinct 24,38.9172612211,-77.0408237172,ADAMS MORGAN,2024-06-23 15:39:00+00:00,2024-06-23 15:45:00+00:00,606076340,6.0
399581.509999998,129706.920000002,24153467,2024-10-04 05:17:24+00:00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,100 - 146 BLOCK OF WAYNE PLACE SE,399581.51,129706.92,8.0,8D,7.0,707.0,Cluster 39,009803 3,9803.0,Precinct 124,38.835153937,-77.0048200518,,2024-10-04 02:20:00+00:00,2024-10-04 02:24:00+00:00,606076341,4.0
400335.109999999,131003.329999998,24156041,2024-10-09 04:17:40+00:00,MIDNIGHT,OTHERS,THEFT/OTHER,2730 - 2899 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,400335.11,131003.33,8.0,8C,7.0,707.0,Cluster 39,010400 3,10400.0,Precinct 123,38.8468326159,-76.9961396645,,2024-10-08 18:36:00+00:00,2024-10-08 19:52:00+00:00,606076342,76.0
396830.43,137253.620000001,24135424,2024-09-02 23:48:14+00:00,EVENING,OTHERS,THEFT/OTHER,1000 - 1099 BLOCK OF 16TH STREET NW,396830.43,137253.62,2.0,2C,2.0,207.0,Cluster 6,010100 1,10100.0,Precinct 17,38.9031320626,-77.0365410195,DOWNTOWN,2024-09-02 23:09:00+00:00,2024-09-02 23:49:00+00:00,606076344,40.0
397430.710000001,137621.059999999,24422137,2024-06-13 15:01:57+00:00,DAY,OTHERS,THEFT/OTHER,1200 - 1299 BLOCK OF 13TH STREET NW,397430.71,137621.06,2.0,2F,3.0,307.0,Cluster 7,005004 1,5004.0,Precinct 17,38.9064440504,-77.029621947,,2024-06-07 15:00:00+00:00,2024-06-07 15:00:00+00:00,606076346,0.0
399353.1307,134459.365200002,24057539,2024-04-17 16:22:56+00:00,DAY,OTHERS,MOTOR VEHICLE THEFT,1000 - 1099 BLOCK OF HALF STREET SE,399353.130685353,134459.365178209,6.0,8F,1.0,106.0,Cluster 27,007202 2,7202.0,Precinct 131,38.8779658481,-77.0074549315,CAPITOL RIVERFRONT,2024-04-15 23:30:00+00:00,2024-04-17 15:00:00+00:00,606076352,2370.0
401135.869900003,135000.3803,24422078,2024-06-08 01:42:03+00:00,EVENING,OTHERS,THEFT F/AUTO,1300 - 1399 BLOCK OF E STREET SE,401135.869855007,135000.380250711,6.0,6B,1.0,107.0,Cluster 26,006900 2,6900.0,Precinct 91,38.8828390269,-76.9869086226,,2024-06-01 18:00:00+00:00,2024-06-03 10:30:00+00:00,606076354,2430.0
400825.5,139794.190000001,24065281,2024-05-01 20:25:32+00:00,EVENING,OTHERS,THEFT F/AUTO,2800 - 2899 BLOCK OF 12TH STREET NE,400825.5,139794.19,5.0,5B,5.0,504.0,Cluster 22,009302 1,9302.0,Precinct 73,38.926023694,-76.9904800038,,2024-05-01 14:00:00+00:00,2024-05-01 16:00:00+00:00,606076356,120.0
402817.799999997,132471.609999999,24145336,2024-09-20 13:30:57+00:00,DAY,OTHERS,THEFT/OTHER,2721 - 2899 BLOCK OF GOOD HOPE ROAD SE,402817.8,132471.61,7.0,7B,6.0,606.0,Cluster 35,007604 3,7604.0,Precinct 113,38.8600550644,-76.9675340373,,2024-09-20 13:07:00+00:00,2024-09-20 13:31:00+00:00,606076357,24.0
397162.060000002,140182.43,24146743,2024-09-22 21:10:02+00:00,EVENING,OTHERS,THEFT/OTHER,3100 - 3299 BLOCK OF 14TH STREET NW,397162.06,140182.43,1.0,1A,3.0,302.0,Cluster 2,002802 1,2802.0,Precinct 39,38.9295168861,-77.0327298633,,2024-09-22 19:00:00+00:00,2024-09-22 20:45:00+00:00,606076358,105.0
397603.369999997,144181.510000002,24103643,2024-07-07 03:06:19+00:00,MIDNIGHT,OTHERS,THEFT/OTHER,6200 - 6299 BLOCK OF GEORGIA AVENUE NW,397603.37,144181.51,4.0,4B,4.0,402.0,Cluster 17,001901 3,1901.0,Precinct 59,38.9655430254,-77.0276542224,,2024-07-07 01:19:00+00:00,2024-07-07 01:51:00+00:00,606076359,32.0
396518.390000001,139335.68,24423204,2024-09-20 20:21:32+00:00,EVENING,OTHERS,THEFT/OTHER,2322 - 2499 BLOCK OF ONTARIO ROAD NW,396518.39,139335.68,1.0,1C,3.0,303.0,Cluster 1,003802 1,3802.0,Precinct 24,38.9218867805,-77.0401489912,,2024-08-30 15:26:00+00:00,2024-08-30 15:30:00+00:00,606076360,4.0
399358.090000004,137621.109999999,24156411,2024-10-09 12:30:31+00:00,DAY,OTHERS,MOTOR VEHICLE THEFT,1 - 99 BLOCK OF PATTERSON STREET NE,399358.09,137621.11,6.0,6E,5.0,501.0,Cluster 25,010601 1,10601.0,Precinct 144,38.9064480215,-77.0074007312,NOMA,2024-10-09 02:00:00+00:00,2024-10-09 12:30:00+00:00,606076361,630.0
405836.969999999,136773.199999999,24039845,2024-03-16 12:35:01+00:00,DAY,OTHERS,THEFT/OTHER,4800 - 4899 BLOCK OF NANNIE HELEN BURROUGHS AVENUE NE,405836.97,136773.2,7.0,7C,6.0,602.0,Cluster 31,007804 1,7804.0,Precinct 98,38.8987906035,-76.932711419,,2024-03-16 11:18:00+00:00,2024-03-16 11:55:00+00:00,606076362,37.0
402348.979999997,140306.359999999,24125766,2024-08-16 19:46:30+00:00,EVENING,OTHERS,MOTOR VEHICLE THEFT,2206 - 2399 BLOCK OF RHODE ISLAND AVENUE NE,402348.98,140306.36,5.0,5B,5.0,503.0,Cluster 22,009400 2,9400.0,Precinct 70,38.9306347289,-76.9729088708,,2024-08-16 06:30:00+00:00,2024-08-16 19:15:00+00:00,606076363,765.0
397044.969999999,139950.32,24125992,2024-08-17 03:23:17+00:00,MIDNIGHT,GUN,ROBBERY,1400 - 1499 BLOCK OF COLUMBIA ROAD NW,397044.97,139950.32,1.0,1A,3.0,302.0,Cluster 2,002802 3,2802.0,Precinct 36,38.9274255811,-77.0340792587,,2024-08-16 02:45:00+00:00,2024-08-16 02:50:00+00:00,606076364,5.0
400038.140000001,137846.690000001,24127998,2024-08-20 18:40:37+00:00,DAY,OTHERS,THEFT F/AUTO,1250 - 1299 BLOCK OF 4TH STREET NE,400038.14,137846.69,5.0,5D,5.0,501.0,Cluster 23,008803 2,8803.0,Precinct 76,38.9084803579,-76.9995602624,,2024-08-20 18:05:00+00:00,2024-08-20 18:40:00+00:00,606076365,35.0
398616.189999998,142881.77,24097804,2024-06-27 02:35:31+00:00,EVENING,OTHERS,ASSAULT W/DANGEROUS WEAPON,5200 - 5299 BLOCK OF 3RD STREET NW,398616.19,142881.77,4.0,4D,4.0,403.0,Cluster 18,002102 5,2102.0,Precinct 57,38.9538368132,-77.0159648775,,2024-06-26 23:07:00+00:00,2024-06-27 02:06:00+00:00,606076366,179.0
400793.68,137241.949999999,24067741,2024-05-06 09:46:26+00:00,MIDNIGHT,OTHERS,BURGLARY,1101 - 1199 BLOCK OF FLORIDA AVENUE NE,400793.68,137241.95,5.0,5D,5.0,506.0,Cluster 23,008802 3,8802.0,Precinct 77,38.9030322913,-76.9908499149,,2024-05-06 08:28:00+00:00,2024-05-06 09:20:00+00:00,606076386,52.0
396749.310000002,138996.699999999,24002868,2024-01-06 16:19:02+00:00,DAY,OTHERS,THEFT/OTHER,1600 - 1699 BLOCK OF FLORIDA AVENUE NW,396749.31,138996.7,1.0,1B,3.0,301.0,Cluster 6,004201 1,4201.0,Precinct 24,38.9188340233,-77.037484479,,2024-01-04 21:22:00+00:00,2024-01-06 16:15:00+00:00,606076413,2573.0
401498.969999999,138734.57,24003425,2024-01-07 21:48:54+00:00,EVENING,OTHERS,THEFT/OTHER,1500 - 1599 BLOCK OF NEW YORK AVENUE NE,401498.97,138734.57,5.0,5D,5.0,506.0,Cluster 23,008803 1,8803.0,Precinct 76,38.9164774036,-76.9827155922,,2024-01-07 20:26:00+00:00,2024-01-07 21:30:00+00:00,606076414,64.0
400232.916299999,135255.095600002,24057949,2024-04-18 12:32:42+00:00,DAY,OTHERS,THEFT/OTHER,600 - 669 BLOCK OF PENNSYLVANIA AVENUE SE,400232.916286169,135255.095578947,6.0,6B,1.0,107.0,Cluster 26,006500 1,6500.0,Precinct 89,38.8851343032,-76.9973154556,CAPITOL HILL,2024-04-18 11:00:00+00:00,2024-04-18 12:00:00+00:00,606076415,60.0
397162.060000002,140182.43,24105143,2024-07-09 19:27:44+00:00,EVENING,OTHERS,THEFT/OTHER,3100 - 3299 BLOCK OF 14TH STREET NW,397162.06,140182.43,1.0,1A,3.0,302.0,Cluster 2,002802 1,2802.0,Precinct 39,38.9295168861,-77.0327298633,,2024-07-09 17:40:00+00:00,2024-07-09 18:30:00+00:00,606076418,50.0
397238.030000001,139219.579999998,24138042,2024-09-07 15:08:31+00:00,DAY,OTHERS,THEFT/OTHER,2303 - 2418 BLOCK OF 14TH STREET NW,397238.03,139219.58,1.0,1B,3.0,304.0,Cluster 2,003701 2,3701.0,Precinct 23,38.9208434707,-77.0318498297,,2024-09-07 14:34:00+00:00,2024-09-07 15:08:00+00:00,606076420,34.0
393039.43,142375.16,24141661,2024-09-14 01:06:55+00:00,EVENING,OTHERS,THEFT/OTHER,4530 - 4599 BLOCK OF WISCONSIN AVENUE NW,393039.43,142375.16,3.0,3E,2.0,202.0,Cluster 11,001100 4,1100.0,Precinct 32,38.9492466458,-77.0802982386,,2024-09-14 00:09:00+00:00,2024-09-14 00:41:00+00:00,606076421,32.0
395984.380000003,138616.920000002,24048738,2024-04-01 21:12:09+00:00,EVENING,OTHERS,THEFT/OTHER,1811 - 1899 BLOCK OF CONNECTICUT AVENUE NW,395984.38,138616.92,1.0,1C,3.0,303.0,Cluster 1,004002 3,4002.0,Precinct 25,38.9154096776,-77.046302846,DUPONT CIRCLE,2024-04-01 19:34:00+00:00,2024-04-01 21:00:00+00:00,606076422,86.0
396851.299999997,146091.719999999,24051504,2024-04-06 23:35:10+00:00,EVENING,OTHERS,THEFT F/AUTO,7600 - 7699 BLOCK OF 16TH STREET NW,396851.3,146091.72,4.0,4A,4.0,401.0,Cluster 16,001600 3,1600.0,Precinct 62,38.9827482632,-77.0363409776,,2024-04-06 04:00:00+00:00,2024-04-06 19:00:00+00:00,606076423,900.0
399072.009999998,133326.879999999,24052279,2024-04-08 13:56:03+00:00,DAY,OTHERS,MOTOR VEHICLE THEFT,1800 - 1899 BLOCK OF HALF STREET SW,399072.01,133326.88,6.0,6D,1.0,105.0,Cluster 9,006400 2,6400.0,Precinct 127,38.8677637155,-77.0106932154,CAPITOL RIVERFRONT,2024-04-08 02:00:00+00:00,2024-04-08 10:00:00+00:00,606076424,480.0
400930.115400001,135528.309099998,24053063,2024-04-09 19:34:57+00:00,EVENING,OTHERS,THEFT F/AUTO,1200 - 1299 BLOCK OF INDEPENDENCE AVENUE SE,400930.115390816,135528.309147201,6.0,6B,1.0,107.0,Cluster 26,006700 2,6700.0,Precinct 88,38.8875950537,-76.9892793147,,2024-04-09 15:30:00+00:00,2024-04-09 17:30:00+00:00,606076425,120.0
401936.82,130715.374200001,24007225,2024-01-15 05:26:29+00:00,MIDNIGHT,OTHERS,BURGLARY,3500 - 3599 BLOCK OF 18TH STREET SE,401936.81999975,130715.374230735,8.0,8E,7.0,704.0,Cluster 38,007409 3,7409.0,Precinct 116,38.8442365147,-76.9776894058,,2024-01-15 02:43:00+00:00,2024-01-15 05:00:00+00:00,606076426,137.0
399694.9278,135442.909699999,24148021,2024-09-24 22:16:08+00:00,EVENING,OTHERS,MOTOR VEHICLE THEFT,200 - 299 BLOCK OF 2ND STREET SE,399694.92777367,135442.909659122,6.0,6B,1.0,106.0,Cluster 26,006500 1,6500.0,Precinct 89,38.8868261819,-77.0035162821,CAPITOL HILL,2024-09-24 05:00:00+00:00,2024-09-24 11:30:00+00:00,606076429,390.0
